@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
1109,21,824,5,1,96,92,0.511,180,1514.2,3.14,3.26,0
1105,23.3,353,83,13,113,109,0.509,8,2039.2,3.69,3.5,0
1103,16.1,668,35,9,100,93,0.518,145,1716.2,3.6,3.23,0
1101,9.6,297,10,3,82,104,0.441,2,1595.1,4.56,4.26,0
1092,11.3,243,20,5,78,85,0.479,1,1354.2,4.17,3.9,0
1081,13.4,714,0,0,72,58,0.554,35,1151,3.82,4.21,0
1081,30.6,213,50,12,94,64,0.595,0,1380,3.61,3.49,0
1081,21.4,298,32,11,90,83,0.52,5,1652.1,3.54,3.41,0
1079,18.5,340,56,19,111,101,0.524,8,1722.2,3.76,3.71,0
1073,14.2,380,36,8,115,88,0.567,12,1809.2,3.66,3.74,0
1065,15.3,480,47,10,108,134,0.446,4,2188.2,4.17,4.14,0
1065,18.9,320,43,7,107,93,0.535,1,1788.1,3.97,4.04,0
1065,25.5,361,59,18,116,117,0.498,4,2002,3.11,3.31,0
1063,17.1,370,52,11,125,104,0.546,1,2080.1,3.95,4.39,0
1061,8.9,261,42,8,75,104,0.419,0,1548,3.84,3.91,0
1059,24.6,309,39,9,94,93,0.503,9,1710,3.96,3.8,0
1057,22.8,429,88,17,166,143,0.537,1,2554.2,3.81,3.73,0
1054,3.9,401,29,10,77,94,0.45,5,1494.2,4.07,4,0
1048,17.3,442,30,5,113,96,0.541,11,1780.2,4.02,3.8,0
1047,27.1,521,70,18,114,113,0.502,51,2127.1,3.37,3.49,0
1046,21.5,375,81,9,108,123,0.468,5,1976.2,3.7,3.53,0
1041,17.2,1064,0,0,65,71,0.478,158,1072,3.64,3.46,0
1039,21.1,398,32,12,121,116,0.511,11,2053.1,3.84,4.15,0
1039,25.7,250,45,14,110,70,0.611,0,1674.2,3.08,3.19,0
1038,21.5,797,47,11,109,143,0.433,38,2160,3.72,3.9,0
1036,31.2,545,13,6,87,76,0.534,125,1242,2.83,3.39,0
1035,30.5,297,102,27,123,119,0.508,0,2053.2,3.26,3.22,0
1032,16.8,405,68,19,127,118,0.518,9,2153,3.58,3.79,0
1030,20.7,732,10,0,86,81,0.515,318,1291.1,3.57,3.62,0
1028,16.5,365,23,8,108,94,0.535,6,1791.1,3.53,3.45,0
1023,9.7,414,43,6,84,86,0.494,43,1444.1,3.63,3.71,0
1015,19.5,355,90,20,133,131,0.504,1,2218.1,3.3,3.25,0
1011,20.9,360,35,16,100,115,0.465,3,1919.1,3.74,3.6,0
1007,7.3,624,4,2,51,84,0.378,96,1145,4.17,3.97,0
1006,18.8,1005,0,0,62,67,0.481,142,1188.1,3.42,3.96,0
1003,14.3,380,30,11,106,108,0.495,7,1729,4.12,4.04,0
1000,19.7,302,31,12,123,90,0.577,0,1921,3.94,4.21,0
997,9.5,281,10,2,74,76,0.493,3,1285.2,4.8,4.58,0
996,17.7,456,67,16,116,93,0.555,46,1913,3.5,3.98,0
991,20.9,469,41,7,111,118,0.485,40,1871.1,4.02,3.97,0
988,34.3,281,50,16,117,72,0.619,1,1797,3.12,3.62,0
987,20.5,519,62,10,108,117,0.48,58,1875,3.62,3.58,0
985,18.2,300,27,4,75,83,0.475,11,1487.1,4.01,3.5,0
982,17.8,761,3,0,88,81,0.521,131,1456,3.34,3.09,0
980,12.5,297,14,6,96,83,0.536,0,1554.2,4.19,4.12,0
976,17,319,66,15,103,109,0.486,7,1810.1,3.46,3.64,0
975,23.7,1119,0,0,90,87,0.508,424,1245.2,2.89,3.45,0
975,9.9,490,5,2,67,62,0.519,32,1205.1,3.9,3.98,0
975,13.2,248,35,7,74,76,0.493,5,1323.2,4.34,3.4,0
975,14.1,620,32,5,100,94,0.515,55,1746.2,3.68,3.78,0
973,16.1,305,55,11,111,113,0.496,0,1857.1,4.23,4.33,0
971,15.3,332,35,11,101,89,0.532,7,1655,3.66,4.12,0
970,20.2,273,14,7,93,76,0.55,1,1545.2,4.03,4.21,0
961,16.3,382,28,7,81,72,0.529,41,1313.1,3.46,3.49,0
957,22.2,445,77,20,103,125,0.452,15,2099,3.78,3.55,0
955,20,312,71,16,124,105,0.541,2,1996.1,3.78,3.66,0
952,19.4,392,43,9,96,111,0.464,6,1951.1,3.99,3.87,0
951,13.7,257,15,6,84,95,0.469,0,1525,4.14,4.32,0
950,20.2,288,48,7,85,95,0.472,5,1603.2,3.36,3.24,0
949,19.6,386,41,5,77,87,0.47,45,1362.2,3.49,3.18,0
948,11.1,379,35,6,86,87,0.497,18,1586,3.89,3.86,0
940,11.7,370,34,13,78,90,0.464,3,1558.1,3.99,3.82,0
940,16.6,931,4,0,96,113,0.459,218,1510,3.34,3.45,0
939,16.4,341,19,4,86,74,0.538,9,1368,4.42,4.71,0
939,19,475,98,23,137,130,0.513,18,2408.2,3.81,3.83,0
939,14.3,318,41,13,86,93,0.48,2,1497.2,3.98,3.67,0
934,6.1,245,45,15,54,85,0.388,5,1236.1,4.08,3.82,0
932,16.1,297,56,9,81,86,0.485,7,1483,3.65,3.37,0
930,8.3,428,57,12,105,106,0.498,25,1809,4.01,3.62,0
929,10.9,321,56,14,111,124,0.472,0,1986.2,4.22,4.26,0
925,13.3,429,22,3,80,73,0.523,51,1165.2,3.19,3.37,0
921,15.4,732,0,0,76,79,0.49,184,1191,3.38,3.86,0
921,16.7,266,44,14,109,50,0.686,11,1390,3.11,3.42,0
920,2.9,211,4,0,71,65,0.522,0,1111,5.14,4.89,0
909,21.3,846,0,0,69,79,0.466,303,1128.1,3.3,3.11,0
904,20.2,356,83,23,138,108,0.561,5,2140.2,3.99,4.06,0
896,7,282,57,16,103,76,0.575,2,1597.1,3.63,3.61,0
894,15.5,242,7,4,74,73,0.503,1,1340.2,4.44,4.27,0
894,20.8,211,24,6,78,70,0.527,0,1291.1,3.91,4.08,0
892,3.6,335,15,1,65,73,0.471,26,1184.1,4.57,4.5,0
891,11.6,354,56,17,87,107,0.448,4,1632,3.92,3.65,0
889,13.6,193,26,4,80,74,0.519,0,1224.1,4.05,4,0
889,14.2,692,16,5,86,75,0.534,79,1358.2,3.46,3.49,0
888,19.8,263,31,6,87,108,0.446,0,1674,4.25,4.25,0
888,10.6,292,25,9,78,105,0.426,1,1491.1,4.36,4.09,0
887,8.2,245,11,4,89,83,0.517,0,1518.2,4.36,4.48,0
884,15.1,728,1,0,44,63,0.411,347,884.2,3.19,3.32,0
882,16.6,286,38,8,93,69,0.574,10,1455.1,3.66,3.63,0
882,10.5,205,37,6,68,56,0.548,0,1065.1,3.52,3.65,0
880,17.4,724,3,1,97,112,0.464,188,1386.2,3.14,3.23,0
880,11.1,328,60,14,93,90,0.508,4,1642,3.72,3.97,0
878,9.2,556,19,3,75,89,0.457,50,1492.2,4.21,3.91,0
877,19.1,880,0,0,73,77,0.487,367,1132.1,3.16,3.49,0
873,22.9,899,0,0,99,76,0.566,238,1390.1,2.88,3.19,0
871,17.1,264,59,15,90,90,0.5,3,1540.1,3.66,3.57,0
866,2.1,333,53,5,73,122,0.374,5,1689.1,4.19,3.8,0
865,10.2,325,25,7,70,90,0.438,7,1435.1,4.07,4.29,0
864,12.6,700,2,1,83,68,0.55,126,1229.1,3.54,3.39,0
863,10.8,292,39,15,67,90,0.427,4,1346.2,3.5,3.63,0
861,23.1,642,0,0,41,42,0.494,311,789.2,2.67,2.72,0
857,7.4,333,20,5,55,95,0.367,25,1189.2,4.4,3.94,0
857,15.4,639,21,7,96,96,0.5,35,1830.2,3.93,3.61,0
857,2.3,295,40,15,84,85,0.497,1,1509,3.7,3.9,0
853,13.2,349,16,2,77,86,0.472,4,1591.2,4.67,4.7,0
853,17.5,266,56,8,100,83,0.546,2,1655,4.01,3.78,0
848,5.7,350,16,6,105,81,0.565,5,1666,4.03,4.06,0
844,9.3,266,7,2,79,74,0.516,2,1322.2,5.01,5.04,0
843,9.7,469,17,3,60,82,0.423,63,1268,4.19,3.85,0
843,19.1,207,48,15,81,63,0.563,3,1282.2,3.38,3.15,0
839,15.7,503,12,7,56,52,0.519,74,1057.2,3.11,3.12,0
837,9.8,554,10,3,56,74,0.431,91,1120,3.87,3.6,0
835,10.1,256,21,5,91,77,0.542,0,1460.2,4.15,4.34,0
834,5.9,262,6,2,66,80,0.452,1,1232.2,4.72,4.84,0
829,10.7,420,16,5,57,97,0.37,68,1236,3.55,3.53,0
827,7.3,289,35,13,76,71,0.517,19,1303.2,3.5,2.95,0
825,10.6,259,9,5,70,91,0.435,0,1387.1,4.68,4.75,0
825,7.2,438,42,14,89,97,0.478,11,1641,3.96,3.98,0
822,19.1,207,21,4,67,68,0.496,0,1244.1,3.44,3.44,0
819,14.3,647,1,0,65,58,0.528,126,1049.1,3.53,3.62,0
818,16,340,4,1,130,92,0.586,0,1918,4.27,4.66,0
815,21.1,696,0,0,73,54,0.575,111,1061,2.83,3.41,0
814,13.2,583,0,0,44,49,0.473,237,697.1,3.45,3.7,0
813,5.9,288,3,1,66,77,0.462,2,1149,4.59,4.42,0
812,21.5,302,31,7,110,102,0.519,1,1807,3.92,3.65,0
812,15.4,663,4,0,61,75,0.449,52,1419,3.35,3.52,0
808,8.5,605,1,1,51,54,0.486,97,899.1,3.71,3.62,0
807,13.2,884,0,0,61,44,0.581,56,855.2,3.53,3.31,0
807,12.3,349,51,8,83,85,0.494,11,1526.1,3.93,3.77,0
806,7.5,392,5,2,68,78,0.466,1,1198.2,4.55,4.45,0
804,19.2,618,0,0,48,45,0.516,330,765,2.93,3.2,0
804,8,481,0,0,71,49,0.592,83,804.1,3.85,3.91,0
803,15.8,579,1,1,69,62,0.527,133,1018.2,3.01,3.17,0
802,6,274,3,3,48,60,0.444,11,872.2,4.36,4.09,0
802,8.4,294,11,4,80,86,0.482,1,1486.2,4.02,3.87,0
801,21.7,403,71,16,126,97,0.565,14,2047,3.76,4.14,0
799,18.1,214,43,10,78,77,0.503,0,1389.2,4.04,4,0
797,6,358,7,3,52,33,0.612,32,852.2,3.27,3.37,0
793,15.2,643,0,0,45,42,0.517,314,715,2.98,2.92,0
791,18.5,614,5,0,54,65,0.454,127,1105.2,3.23,3.09,0
790,9.4,434,16,2,67,94,0.416,18,1432,3.82,3.95,0
790,11.7,670,6,2,82,64,0.562,81,1486,3.29,3.6,0
789,3.1,282,15,6,48,65,0.425,2,1063,3.98,3.86,0
788,16.6,744,0,0,70,63,0.526,147,1044.2,3.38,3.51,0
786,13,303,53,14,77,98,0.44,6,1528.2,3.72,3.79,0
783,7.6,347,7,4,70,73,0.49,5,1231,4.18,4.08,0
783,1.1,415,26,9,98,103,0.488,12,1739.2,4.02,3.89,0
783,15.3,459,11,2,56,64,0.467,53,1032.2,3.52,3.76,0
781,9.1,243,27,6,83,71,0.539,4,1402.2,3.79,3.37,0
779,26.2,1050,0,0,94,90,0.511,184,1436.2,2.85,3.26,0
778,9.3,765,3,1,51,54,0.486,14,978.2,4.05,3.98,0
773,4.6,206,4,2,51,42,0.548,9,897.1,4.64,4.82,0
771,10.3,201,36,11,68,64,0.515,4,1107.1,3.58,3.51,0
769,19.7,745,0,0,80,77,0.51,136,1085,2.93,3.14,0
767,18.7,403,11,4,94,78,0.547,27,1599.2,3.95,3.94,0
762,2.9,227,2,1,63,89,0.414,1,1200.2,5.37,5,0
