@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
172,0.2,111,0,0,11,13,0.458,3,238.1,5.14,4.49,0
172,2.5,109,0,0,16,14,0.533,3,220.2,3.47,3.8,0
172,4.9,121,12,2,24,37,0.393,0,535.2,4.44,4.35,0
172,2.5,124,1,0,15,21,0.417,12,315.1,3.85,3.75,0
171,0.8,179,0,0,9,15,0.375,17,258,4.22,3.9,0
170,1.7,210,0,0,13,13,0.5,0,239,4.82,4.77,0
170,-1.2,183,0,0,15,16,0.484,21,251,6.02,5.94,0
170,-0.9,183,0,0,12,18,0.4,26,241,4.71,4.4,0
170,0.3,206,1,0,16,20,0.444,1,319.2,3.94,3.9,0
170,3.5,162,2,1,14,18,0.438,13,310.1,3.71,3.89,0
170,2.1,103,10,2,16,32,0.333,1,421,4.08,4.03,0
169,-1.1,161,0,0,5,16,0.238,22,217,4.35,3.33,0
168,2.7,205,0,0,12,7,0.632,8,249,3.65,4,0
167,3.1,129,0,0,4,4,0.5,6,219.2,3.56,4.18,0
167,2.9,140,0,0,14,16,0.467,21,254.2,3.15,3.17,0
166,2.3,223,0,0,21,13,0.618,27,241.1,4.21,5.17,0
166,3.2,129,0,0,23,14,0.622,22,273.1,3.39,3.48,0
164,0.8,123,0,0,12,15,0.444,5,283.2,5.36,4.56,0
164,2.3,231,0,0,14,14,0.5,4,249.2,3.93,4.06,0
164,1.2,159,0,0,6,19,0.24,21,209.2,3.69,4.01,0
164,3.7,176,0,0,6,11,0.353,23,224.2,3.08,3.35,0
163,1.4,139,0,0,10,6,0.625,3,196,4.13,4.59,0
163,1.7,214,0,0,16,21,0.432,21,284,4.12,4.18,0
162,3,228,0,0,19,8,0.704,7,284,3.77,3.96,0
162,1.9,119,1,1,12,5,0.706,12,201.1,3.13,3.45,0
161,-1.2,167,0,0,7,5,0.583,1,239.2,5.07,4.82,0
161,1,214,0,0,11,6,0.647,20,180.2,3.99,3.68,0
160,0.3,162,0,0,12,6,0.667,9,252,4.14,4.13,0
159,2.5,193,0,0,10,20,0.333,45,262.2,4.21,3.89,0
159,-1.3,161,0,0,12,17,0.414,10,308.1,4.67,4.67,0
159,-0.9,112,7,1,22,30,0.423,3,409,5.22,5.6,0
159,-0.5,117,10,2,9,22,0.29,4,337.2,4.82,4.48,0
158,3.5,288,0,0,17,11,0.607,12,360.1,3.77,3.94,0
157,2.4,314,0,0,18,15,0.545,28,304,3.76,4.82,0
156,0.8,112,0,0,12,7,0.632,8,288,3.62,3.63,0
156,5.5,176,0,0,16,12,0.571,52,282.2,2.93,3.98,0
155,-0.2,123,0,0,18,9,0.667,9,201.2,4.2,3.79,0
154,-0.2,120,0,0,9,16,0.36,0,266,4.94,4.71,0
154,0.4,155,1,0,14,18,0.438,6,236.2,4.6,4.39,0
153,1.2,229,0,0,17,22,0.436,4,299,4.36,4.35,0
153,0.2,100,1,0,11,22,0.333,1,278.1,5.17,4.79,0
153,1.7,157,0,0,23,16,0.59,43,261,3,3.51,0
152,-1.6,116,2,0,9,17,0.346,3,249.2,4.87,3.75,0
151,2.6,101,0,0,7,5,0.583,6,147,3.12,3.99,0
151,1.3,130,0,0,7,9,0.438,17,212.1,3.65,4.05,0
150,2.5,172,0,0,9,10,0.474,1,207,3.96,4.16,0
150,1.1,264,0,0,12,8,0.6,7,278,3.98,4.3,0
149,-0.5,111,0,0,5,11,0.313,11,142,4.88,4.45,0
149,1.5,144,1,0,7,21,0.25,15,296,4.59,4.53,0
148,-1.3,125,1,0,9,12,0.429,5,195.1,5.21,4.13,0
148,-0.8,269,0,0,12,17,0.414,29,349.2,3.76,3.63,0
148,-0.8,151,0,0,11,13,0.458,22,202,3.88,3.96,0
146,4.1,251,0,0,7,14,0.333,7,271.1,3.91,4.04,0
146,0,192,0,0,11,9,0.55,8,193.2,3.95,3.8,0
146,2.1,117,7,4,16,14,0.533,5,337,3.15,4.2,0
145,3.1,257,0,0,11,6,0.647,1,177,3.76,4.46,0
144,0.3,109,1,0,10,22,0.313,0,318.1,5.06,4.58,0
144,0.3,126,0,0,12,10,0.545,0,213.2,4.34,3.44,0
144,2.2,131,0,0,5,5,0.5,8,208.2,4.01,3.76,0
143,-0.1,218,0,0,18,10,0.643,14,192.2,3.83,4.37,0
142,1.2,197,0,0,8,9,0.471,3,234.1,4.34,4.59,0
142,1.1,144,0,0,10,7,0.588,3,153,4.06,3.62,0
142,0.2,142,0,0,11,9,0.55,11,231,4.09,4.32,0
141,1.1,106,2,1,10,18,0.357,1,261,5.34,5.12,0
141,3.3,152,0,0,17,17,0.5,44,222.1,3.16,3.39,0
141,0,126,0,0,13,10,0.565,25,159.2,4.9,4.43,0
140,0.4,171,0,0,13,9,0.591,4,228.2,4.57,4.39,0
140,0.9,128,0,0,4,7,0.364,4,182.2,3.74,3.5,0
137,0.8,254,0,0,8,11,0.421,2,229,4.95,4.76,0
137,1.9,203,0,0,11,11,0.5,5,178.2,4.79,5.08,0
137,3.1,205,0,0,17,11,0.607,20,286,3.12,3.63,0
137,1.1,110,6,2,15,16,0.484,2,334.1,3.82,4.39,0
137,0.3,132,2,0,11,7,0.611,2,232.1,3.95,3.62,0
136,2.6,116,1,0,10,16,0.385,2,218.1,3.96,3.65,0
135,-1,144,0,0,12,15,0.444,4,250.2,4.95,4.75,0
135,-0.5,187,0,0,17,19,0.472,24,297,4.52,4.12,0
135,-0.6,102,0,0,9,8,0.529,4,169.2,4.46,3.88,0
134,1.2,101,0,0,8,6,0.571,10,168,3.64,3.75,0
133,-0.3,120,0,0,8,9,0.471,5,200,4.72,4.23,0
132,1.6,113,3,2,13,12,0.52,5,295.1,4.24,3.89,0
132,3.4,128,0,0,16,15,0.516,17,216.2,3.16,3.91,0
131,2.4,182,0,0,12,10,0.545,6,263,3.46,4.12,0
130,0.6,111,0,0,10,7,0.588,1,210.2,5.04,5.43,0
130,1.6,116,1,0,11,15,0.423,5,235,3.71,4.63,0
129,-1.4,125,1,0,9,10,0.474,3,233.2,5.08,5.53,0
129,-1.3,111,0,0,10,24,0.294,3,353.2,4.68,4.51,0
128,-1.7,149,0,0,9,10,0.474,1,212,5.09,5.1,0
128,-1.8,112,0,0,9,9,0.5,8,205,3.95,4.84,0
128,1.7,188,0,0,11,12,0.478,19,238.1,3.32,3.87,0
127,0.4,112,0,0,5,4,0.556,1,124.2,4.55,4.46,0
126,-2.1,102,0,0,8,8,0.5,3,219,5.26,4.79,0
126,0.6,139,1,1,8,5,0.615,11,214.1,4.28,3.61,0
126,1.4,111,0,0,7,14,0.333,7,230.1,4.18,3.57,0
125,1.5,245,0,0,11,13,0.458,2,240.2,4.56,4.68,0
125,0.7,142,0,0,23,15,0.605,3,248.2,4.31,4.31,0
124,0.4,173,0,0,13,21,0.382,8,322.2,4.13,4.38,0
124,2.5,114,0,0,11,7,0.611,5,195.1,3.69,3.52,0
123,0.6,114,0,0,7,6,0.538,1,136.2,4.41,4.01,0
123,2.2,111,3,0,11,14,0.44,9,265.1,3.7,3.86,0
123,1.1,138,0,0,13,14,0.481,6,188.1,4.01,4.15,0
122,2.1,133,0,0,10,14,0.417,20,193,3.64,4.15,0
122,0.6,119,2,1,12,11,0.522,8,274.2,4.03,3.93,0
120,1,119,0,0,3,3,0.5,0,137,4.2,5.06,0
119,0.7,139,0,0,6,5,0.545,2,148.1,4.31,4.79,0
119,1.5,130,0,0,5,5,0.5,5,160.2,4.54,5.12,0
119,-0.4,161,0,0,5,7,0.417,1,264,3.89,4.37,0
119,0.5,146,0,0,12,12,0.5,10,219.1,3.98,3.5,0
118,-1.6,106,0,0,8,14,0.364,0,183.2,6.17,5.44,0
118,1.1,231,0,0,9,14,0.391,17,232.2,3.91,4.24,0
118,2.7,113,1,0,15,11,0.577,15,215.1,4.3,4.82,0
118,-1.6,119,1,0,13,15,0.464,20,238.1,5.02,4.85,0
116,-0.3,121,0,0,7,10,0.412,0,136.1,4.49,5.13,0
116,0.2,135,0,0,9,13,0.409,3,174,4.6,4.9,0
116,0.3,104,0,0,8,9,0.471,7,191,3.63,4.15,0
115,-0.5,100,0,0,5,5,0.5,2,139.2,5.67,5.93,0
114,0.3,189,0,0,9,8,0.529,3,158,4.96,4.57,0
114,-0.9,110,1,0,10,15,0.4,0,216.1,5.33,4.95,0
114,1.2,122,0,0,7,4,0.636,3,142.2,3.97,4.83,0
113,4.4,110,0,0,9,6,0.6,7,220,3.27,3.68,0
113,3.2,111,4,1,6,13,0.316,5,239.1,3.27,3.79,0
111,-0.2,137,1,1,9,17,0.346,11,256.1,4.28,3.83,0
110,1.4,111,0,0,11,8,0.579,1,181,4.57,4.94,0
110,2.9,121,0,0,10,5,0.667,0,172,3.92,4.66,0
109,5.7,107,0,0,13,9,0.591,27,186,2.66,3.85,0
109,3.6,119,0,0,10,7,0.588,22,185.2,2.76,3.25,0
108,-0.5,168,1,0,14,22,0.389,11,266.2,4.83,4.74,0
107,-0.1,131,0,0,8,12,0.4,15,220,3.89,4.04,0
105,0.4,117,1,0,11,3,0.786,3,181.2,3.91,3.86,0
104,1.4,122,0,0,5,5,0.5,0,160.2,4.2,4.31,0
104,1.1,119,0,0,11,6,0.647,4,157.2,2.97,3.82,0
104,2.4,118,0,0,6,7,0.462,5,150.2,2.51,3.39,0
104,2.3,129,5,0,17,21,0.447,10,298.1,4.07,4.39,0
103,1.6,107,0,0,7,7,0.5,6,168.2,2.83,2.97,0
102,-0.5,106,0,0,6,8,0.429,3,174,4.55,4.79,0
102,-1.1,122,3,2,7,8,0.467,3,200,4.63,3.56,0
101,1.6,150,0,0,5,1,0.833,2,138.2,4.02,4.64,0
101,-2,109,0,0,10,8,0.556,6,216,4.71,4.31,0
99,1.7,158,0,0,13,14,0.481,23,224.2,4.53,4.41,0
98,-1.2,121,0,0,9,12,0.429,1,170,4.98,5.18,0
98,-0.4,106,0,0,4,4,0.5,3,137.2,5.56,5.33,0
98,0.3,176,0,0,6,7,0.462,3,142.2,4.79,5.36,0
98,2.2,130,0,0,5,12,0.294,22,126,3.93,4.26,0
98,0.4,114,0,0,9,6,0.6,2,127,5.17,4.94,0
98,1.9,147,0,0,6,5,0.545,4,177.2,3.14,4.32,0
97,-1.4,113,0,0,5,2,0.714,0,133.1,5.74,5.02,0
96,0.9,115,0,0,11,4,0.733,9,137,4.47,4.9,0
96,1.9,104,0,0,7,6,0.538,5,219,3.29,4.01,0
96,-0.7,133,0,0,10,6,0.625,6,246.2,4.63,4.23,0
95,0.1,122,0,0,7,3,0.7,0,102,4.76,4.54,0
95,0.7,105,0,0,9,1,0.9,2,144,4.12,4.84,0
95,1.3,103,0,0,4,4,0.5,1,133,2.77,3.81,0
94,0.6,176,0,0,10,6,0.625,3,164.2,4.26,3.99,0
94,4.3,112,2,0,18,7,0.72,13,227,3.05,4.05,0
94,2.4,139,0,0,15,11,0.577,19,203.2,3.31,3.98,0
93,-0.1,113,0,0,5,4,0.556,0,124,5.08,4.19,0
92,-0.7,115,0,0,4,8,0.333,6,176,4.14,3.86,0
92,1.2,138,0,0,13,7,0.65,13,193.2,3.39,3.83,0
91,1.1,132,0,0,3,9,0.25,2,122.2,4.26,4.32,0
90,3.6,101,0,0,11,7,0.611,17,157.1,2.86,3.93,0
89,0.3,104,0,0,11,14,0.44,3,221,3.99,4.06,0
87,3.8,118,0,0,4,10,0.286,14,158,3.82,4.68,0
87,0.4,120,0,0,10,7,0.588,6,229.1,4.43,4,0
86,1,105,0,0,4,7,0.364,7,182.2,3.6,3.83,0
86,-1.9,117,0,0,2,5,0.286,2,166.1,4.71,4.07,0
86,-1,109,0,0,5,3,0.625,3,142.1,4.36,3.9,0
85,-1.1,107,0,0,4,7,0.364,5,150,4.86,4.37,0
84,-1,116,0,0,8,7,0.533,6,127.2,4.58,5.39,0
84,1.3,116,0,0,5,5,0.5,2,127.1,3.82,4.54,0
81,0.9,149,0,0,12,4,0.75,8,175.1,3.85,4.26,0
79,-0.6,113,0,0,6,7,0.462,1,148,4.68,4.83,0
78,-2.6,125,0,0,8,4,0.667,0,92,7.34,5.35,0
75,3.6,120,0,0,13,4,0.765,20,166.2,2.86,3.69,0
70,0.6,114,0,0,6,1,0.857,0,151,3.87,3.98,0
70,-0.2,133,0,0,8,7,0.533,4,172,3.72,4.07,0
63,0.6,118,0,0,7,8,0.467,9,175.1,3.64,3.62,0
62,0.5,102,0,0,6,7,0.462,2,127,4.82,4.74,0
61,1,141,0,0,4,2,0.667,1,110.2,4.07,4.48,0
60,-0.7,111,0,0,3,12,0.2,1,128.1,5.89,6.22,0
59,1.7,127,0,0,7,7,0.5,4,167.2,3.33,3.73,0
58,1.6,104,0,0,6,4,0.6,7,103.2,2.52,3.55,0
46,1.1,103,0,0,1,5,0.167,1,64,3.66,5.22,0
